行 39: 控件 WindowsMediaPlayer1 的类 WMPLibCtl.WindowsMediaPlayer 不是一个已加载的控件类。
行 45: 属性名 URL 在 WindowsMediaPlayer1 中是无效的。
行 46: 属性名 rate 在 WindowsMediaPlayer1 中是无效的。
行 47: 属性名 balance 在 WindowsMediaPlayer1 中是无效的。
行 48: 属性名 currentPosition 在 WindowsMediaPlayer1 中是无效的。
行 49: 属性名 defaultFrame 在 WindowsMediaPlayer1 中是无效的。
行 50: 属性名 playCount 在 WindowsMediaPlayer1 中是无效的。
行 51: 属性名 autoStart 在 WindowsMediaPlayer1 中是无效的。
行 52: 属性名 currentMarker 在 WindowsMediaPlayer1 中是无效的。
行 53: 属性名 invokeURLs 在 WindowsMediaPlayer1 中是无效的。
行 54: 属性名 baseURL 在 WindowsMediaPlayer1 中是无效的。
行 55: 属性名 volume 在 WindowsMediaPlayer1 中是无效的。
行 56: 属性名 mute 在 WindowsMediaPlayer1 中是无效的。
行 57: 属性名 uiMode 在 WindowsMediaPlayer1 中是无效的。
行 58: 属性名 stretchToFit 在 WindowsMediaPlayer1 中是无效的。
行 59: 属性名 windowlessVideo 在 WindowsMediaPlayer1 中是无效的。
行 61: 属性名 enableContextMenu 在 WindowsMediaPlayer1 中是无效的。
行 62: 属性名 fullScreen 在 WindowsMediaPlayer1 中是无效的。
行 63: 属性名 SAMIStyle 在 WindowsMediaPlayer1 中是无效的。
行 64: 属性名 SAMILang 在 WindowsMediaPlayer1 中是无效的。
行 65: 属性名 SAMIFilename 在 WindowsMediaPlayer1 中是无效的。
行 66: 属性名 captioningID 在 WindowsMediaPlayer1 中是无效的。
行 67: 属性名 enableErrorDialogs 在 WindowsMediaPlayer1 中是无效的。
行 68: 属性名 _cx 在 WindowsMediaPlayer1 中是无效的。
行 69: 属性名 _cy 在 WindowsMediaPlayer1 中是无效的。
